"time","value"
0,0
1,0.0285675414608961
2,0.0571117640661649
3,0.0856093679946843
4,0.114037091478806
5,0.142371729792264
6,0.170590154191513
7,0.198669330795061
8,0.22658633938535
9,0.254318392117869
10,0.28184285212221
11,0.309137251979889
12,0.336179312063848
13,0.362946958724669
14,0.389418342308651
15,0.415571854993052
16,0.441386148423929
17,0.466840151142175
18,0.491913085783545
19,0.516584486038614
20,0.540834213358832
21,0.564642473395035
22,0.587989832155004
23,0.610857231866863
24,0.633226006535388
25,0.655077897178519
26,0.676395066731634
27,0.697160114607431
28,0.717356090899523
29,0.736966510218151
30,0.755975365146732
31,0.774367139308253
32,0.79212682003083
33,0.809239910602127
34,0.825692442102594
35,0.841470984807897
36,0.856562659151206
37,0.870955146236419
38,0.884636697893714
39,0.897596146269243
40,0.909822912941124
41,0.921307017554303
42,0.932039085967226
43,0.942010357903682
44,0.951212694103558
45,0.959638582966685
46,0.967281146684337
47,0.974134146853388
48,0.980191989568538
49,0.98544972998846
50,0.989903076372124
51,0.993548393582025
52,0.99638270605144
53,0.998403700213297
54,0.99960972638867
55,0.999999800133368
56,0.999573603041505
57,0.998331483005407
58,0.996274453931639
59,0.993404194913377
60,0.989723048859821
61,0.985234020583741
62,0.979940774348733
63,0.973847630878195
64,0.966959563828439
65,0.95928219572884
66,0.950821793392334
67,0.941585262799993
68,0.931580143463878
69,0.92081460227275
70,0.909297426825682
71,0.897038018258988
72,0.884046383572355
73,0.870333127460417
74,0.855909443656449
75,0.84078710579525
76,0.824978457802664
77,0.80849640381959
78,0.791354397668712
79,0.773566431872527
80,0.755147026231658
81,0.736111215972762
82,0.716474539475708
83,0.696253025590053
84,0.675463180551151
85,0.654121974506596
86,0.63224682766398
87,0.609855596071286
88,0.58696655704151
89,0.563598394233424
90,0.539770182400644
91,0.515501371821464
92,0.490811772422158
93,0.465721537606709
94,0.440251147806173
95,0.414421393761095
96,0.388253359550633
97,0.361768405382231
98,0.334988150155905
99,0.307934453817362
100,0.280629399514357
