"time","value"
0,0
1,1.73205080756888
2,2.44948974278318
3,3
4,3.46410161513775
5,3.87298334620742
6,4.24264068711928
7,4.58257569495584
8,4.89897948556636
9,5.19615242270663
10,5.47722557505166
11,5.74456264653803
12,6
13,6.2449979983984
14,6.48074069840786
15,6.70820393249937
16,6.92820323027551
17,7.14142842854285
18,7.34846922834953
19,7.54983443527075
20,7.74596669241483
21,7.93725393319377
22,8.12403840463596
23,8.30662386291807
24,8.48528137423857
25,8.66025403784439
26,8.83176086632785
27,9
28,9.16515138991168
29,9.32737905308882
30,9.48683298050514
31,9.64365076099295
32,9.79795897113271
33,9.9498743710662
34,10.0995049383621
35,10.2469507659596
36,10.3923048454133
37,10.5356537528527
38,10.6770782520313
39,10.816653826392
40,10.9544511501033
41,11.0905365064094
42,11.2249721603218
43,11.3578166916005
44,11.4891252930761
45,11.6189500386223
46,11.7473401244707
47,11.8743420870379
48,12
49,12.1243556529821
50,12.2474487139159
51,12.369316876853
52,12.4899959967968
53,12.6095202129185
54,12.7279220613579
55,12.8452325786651
56,12.9614813968157
57,13.076696830622
58,13.1909059582729
59,13.3041346956501
60,13.4164078649987
61,13.5277492584687
62,13.6381816969859
63,13.7477270848675
64,13.856406460551
65,13.9642400437689
66,14.0712472794703
67,14.1774468787578
68,14.2828568570857
69,14.3874945699382
70,14.4913767461894
71,14.5945195193264
72,14.6969384566991
73,14.7986485869487
74,14.8996644257513
75,15
76,15.0996688705415
77,15.1986841535707
78,15.2970585407784
79,15.3948043183407
80,15.4919333848297
81,15.5884572681199
82,15.6843871413581
83,15.7797338380595
84,15.8745078663875
85,15.9687194226713
86,16.062378404209
87,16.1554944214035
88,16.2480768092719
89,16.3401346383682
90,16.431676725155
91,16.5227116418583
92,16.6132477258361
93,16.7032930884901
94,16.7928556237467
95,16.8819430161341
96,16.9705627484771
97,17.058722109232
98,17.1464281994822
99,17.2336879396141
100,17.3205080756888
