"time","value"
0,0
1,0.11
2,0.161421356237309
3,0.203205080756888
4,0.24
5,0.273606797749979
6,0.304948974278318
7,0.334575131106459
8,0.362842712474619
9,0.39
10,0.416227766016838
11,0.44166247903554
12,0.466410161513775
13,0.490555127546399
14,0.514165738677394
15,0.537298334620742
16,0.56
17,0.582310562561766
18,0.604264068711929
19,0.625889894354067
20,0.647213595499958
21,0.668257569495584
22,0.689041575982343
23,0.709583152331272
24,0.729897948556636
25,0.75
26,0.769901951359278
27,0.789615242270663
28,0.809150262212918
29,0.82851648071345
30,0.847722557505166
31,0.866776436283002
32,0.885685424949238
33,0.904456264653803
34,0.92309518948453
35,0.941607978309962
36,0.96
37,0.978276253029822
38,0.996441400296898
39,1.01449979983984
40,1.03245553203368
41,1.05031242374328
42,1.06807406984079
43,1.0857438524302
44,1.10332495807108
45,1.12082039324994
46,1.13823299831253
47,1.1555654600401
48,1.17282032302755
49,1.19
50,1.20710678118655
51,1.22414284285429
52,1.2411102550928
53,1.25801098892805
54,1.27484692283495
55,1.29161984870957
56,1.30833147735479
57,1.32498344352708
58,1.34157731058639
59,1.35811457478686
60,1.37459666924148
61,1.39102496759067
62,1.40740078740118
63,1.42372539331938
64,1.44
65,1.45622577482985
66,1.4724038404636
67,1.48853527718725
68,1.50462112512353
69,1.52066238629181
70,1.53666002653408
71,1.55261497731764
72,1.56852813742386
73,1.58440037453175
74,1.60023252670426
75,1.61602540378444
76,1.63177978870813
77,1.64749643873921
78,1.66317608663278
79,1.67881944173156
80,1.69442719099992
81,1.71
82,1.72553851381374
83,1.74104335791443
84,1.75651513899117
85,1.77195444572929
86,1.78736184954957
87,1.80273790530888
88,1.81808315196469
89,1.83339811320566
90,1.84868329805051
91,1.86393920141695
92,1.87916630466254
93,1.8943650760993
94,1.90953597148327
95,1.9246794344809
96,1.93979589711327
97,1.95488578017961
98,1.96994949366117
99,1.98498743710662
100,2
