"time","value"
0,1
1,1.04081077419239
2,1.08328706767496
3,1.12749685157938
4,1.17351087099181
5,1.22140275816017
6,1.2712491503214
7,1.32312981233744
8,1.37712776433596
9,1.43332941456034
10,1.49182469764127
11,1.55270721851134
12,1.61607440219289
13,1.68202764969889
14,1.7506725002961
15,1.82211880039051
16,1.89648087930495
17,1.97387773223045
18,2.05443321064389
19,2.13827622049682
20,2.22554092849247
21,2.31636697678109
22,2.41089970641721
23,2.5092903899363
24,2.61169647342312
25,2.71828182845905
26,2.82921701435156
27,2.94467955106552
28,3.064854203293
29,3.18993327611618
30,3.32011692273655
31,3.45561346476268
32,3.59663972556928
33,3.74342137726086
34,3.89619330179521
35,4.05519996684467
36,4.22069581699655
37,4.39294568091876
38,4.57222519514216
39,4.75882124513785
40,4.95303242439511
41,5.15516951223468
42,5.36555597112197
43,5.58452846427605
44,5.81243739440259
45,6.04964746441295
46,6.29653826102666
47,6.55350486219115
48,6.82095846929075
49,7.09932706515663
50,7.38905609893065
51,7.690609198879
52,8.00446891429635
53,8.33113748768769
54,8.67113765846346
55,9.02501349943412
56,9.39333128744278
57,9.7766804095289
58,10.1756743060733
59,10.5909514524338
60,11.0231763806416
61,11.4730407427948
62,11.9412644178491
63,12.4285966635775
64,12.9358173155431
65,13.4637380350017
66,14.0132036077336
67,14.5850932958808
68,15.1803222449539
69,15.7998429482604
70,16.444646771097
71,17.1157655371459
72,17.8142731796122
73,18.5412874597469
74,19.2979717555028
75,20.0855369231877
76,20.9052432350928
77,21.7584023961971
78,22.6463796431754
79,23.5705959290681
80,24.5325301971094
81,25.5337217473515
82,26.575772699874
83,27.6603505585167
84,28.7891908792427
85,29.964100047397
86,31.1869581683095
87,32.4597220758638
88,33.7844284638496
89,35.1631971451066
90,36.598234443678
91,38.091836725399
92,39.6463940725726
93,41.2643941086108
94,42.948425978763
95,44.7011844933008
96,46.5254744397892
97,48.4242150713452
98,50.4004447780655
99,52.4573259490991
100,54.5981500331442
