"time","value"
0,0
1,0.00666666666666667
2,0.0266666666666667
3,0.06
4,0.106666666666667
5,0.166666666666667
6,0.24
7,0.326666666666667
8,0.426666666666667
9,0.54
10,0.666666666666667
11,0.806666666666667
12,0.96
13,1.12666666666667
14,1.30666666666667
15,1.5
16,1.70666666666667
17,1.92666666666667
18,2.16
19,2.40666666666667
20,2.66666666666667
21,2.94
22,3.22666666666667
23,3.52666666666667
24,3.84
25,4.16666666666667
26,4.50666666666667
27,4.86
28,5.22666666666667
29,5.60666666666667
30,6
31,6.40666666666667
32,6.82666666666667
33,7.26
34,7.70666666666667
35,8.16666666666667
36,8.64
37,9.12666666666667
38,9.62666666666667
39,10.14
40,10.6666666666667
41,11.2066666666667
42,11.76
43,12.3266666666667
44,12.9066666666667
45,13.5
46,14.1066666666667
47,14.7266666666667
48,15.36
49,16.0066666666667
50,16.6666666666667
51,17.34
52,18.0266666666667
53,18.7266666666667
54,19.44
55,20.1666666666667
56,20.9066666666667
57,21.66
58,22.4266666666667
59,23.2066666666667
60,24
61,24.8066666666667
62,25.6266666666667
63,26.46
64,27.3066666666667
65,28.1666666666667
66,29.04
67,29.9266666666667
68,30.8266666666667
69,31.74
70,32.6666666666667
71,33.6066666666667
72,34.56
73,35.5266666666667
74,36.5066666666667
75,37.5
76,38.5066666666667
77,39.5266666666667
78,40.56
79,41.6066666666667
80,42.6666666666667
81,43.74
82,44.8266666666667
83,45.9266666666667
84,47.04
85,48.1666666666667
86,49.3066666666667
87,50.46
88,51.6266666666667
89,52.8066666666667
90,54
91,55.2066666666667
92,56.4266666666667
93,57.66
94,58.9066666666667
95,60.1666666666667
96,61.44
97,62.7266666666667
98,64.0266666666667
99,65.34
100,66.6666666666667
