"time","value"
0,0
1,0.51
2,1.04
3,1.59
4,2.16
5,2.75
6,3.36
7,3.99
8,4.64
9,5.31
10,6
11,6.71
12,7.44
13,8.19
14,8.96
15,9.75
16,10.56
17,11.39
18,12.24
19,13.11
20,14
21,14.91
22,15.84
23,16.79
24,17.76
25,18.75
26,19.76
27,20.79
28,21.84
29,22.91
30,24
31,25.11
32,26.24
33,27.39
34,28.56
35,29.75
36,30.96
37,32.19
38,33.44
39,34.71
40,36
41,37.31
42,38.64
43,39.99
44,41.36
45,42.75
46,44.16
47,45.59
48,47.04
49,48.51
50,50
51,51.51
52,53.04
53,54.59
54,56.16
55,57.75
56,59.36
57,60.99
58,62.64
59,64.31
60,66
61,67.71
62,69.44
63,71.19
64,72.96
65,74.75
66,76.56
67,78.39
68,80.24
69,82.11
70,84
71,85.91
72,87.84
73,89.79
74,91.76
75,93.75
76,95.76
77,97.79
78,99.84
79,101.91
80,104
81,106.11
82,108.24
83,110.39
84,112.56
85,114.75
86,116.96
87,119.19
88,121.44
89,123.71
90,126
91,128.31
92,130.64
93,132.99
94,135.36
95,137.75
96,140.16
97,142.59
98,145.04
99,147.51
100,150
