"time","value"
0,0
1,3
2,4.24264068711929
3,5.19615242270663
4,6
5,6.70820393249937
6,7.34846922834953
7,7.93725393319377
8,8.48528137423857
9,9
10,9.48683298050514
11,9.9498743710662
12,10.3923048454133
13,10.816653826392
14,11.2249721603218
15,11.6189500386223
16,12
17,12.369316876853
18,12.7279220613579
19,13.076696830622
20,13.4164078649987
21,13.7477270848675
22,14.0712472794703
23,14.3874945699382
24,14.6969384566991
25,15
26,15.2970585407784
27,15.5884572681199
28,15.8745078663875
29,16.1554944214035
30,16.431676725155
31,16.7032930884901
32,16.9705627484771
33,17.2336879396141
34,17.4928556845359
35,17.7482393492988
36,18
37,18.2482875908947
38,18.4932420089069
39,18.7349939951952
40,18.9736659610103
41,19.2093727122985
42,19.4422220952236
43,19.672315572906
44,19.8997487421324
45,20.1246117974981
46,20.3469899493758
47,20.5669638012031
48,20.7846096908265
49,21
50,21.2132034355964
51,21.4242852856285
52,21.6333076527839
53,21.8403296678416
54,22.0454076850486
55,22.248595461287
56,22.4499443206436
57,22.6495033058122
58,22.8473193175917
59,23.0434372436058
60,23.2379000772445
61,23.43074902772
62,23.6220236220354
63,23.8117617995813
64,24
65,24.1867732448956
66,24.3721152139079
67,24.5560583156173
68,24.738633753706
69,24.9198715887542
70,25.0998007960223
71,25.2784493195291
72,25.4558441227157
73,25.6320112359526
74,25.8069758011279
75,25.9807621135332
76,26.153393661244
77,26.3248931621764
78,26.4952825989835
79,26.6645832519468
80,26.8328157299975
81,27
82,27.1661554144123
83,27.3313007374329
84,27.495454169735
85,27.6586333718787
86,27.8208554864871
87,27.9821371592664
88,28.1424945589406
89,28.3019433961698
90,28.4604989415154
91,28.6181760425084
92,28.7749891398763
93,28.9309522829789
94,29.086079144498
95,29.2403830344269
96,29.3938769133981
97,29.5465734053883
98,29.698484809835
99,29.8496231131986
100,30
